n_samples,"time, s"
100000.0,38.741114616394036
595000.0,192.2492127418518
1090000.0,311.1856393814087
1585000.0,397.0943524837494
2080000.0,553.0572288036346
2575000.0,670.9549901485442
3070000.0,723.5816826820374
3565000.0,856.1593241691589
4060000.0,977.9992072582244
4555000.0,1063.0632655620577
5050000.0,1089.8609247207644
5545000.0,1322.955791473389
6040000.0,1417.3582293987274
6535000.0,1430.8968422412872
7030000.0,1486.5244340896606
7525000.0,1647.060962677002
8020000.0,1754.9148001670835
8515000.0,1840.006804227829
9010000.0,1771.7790541648865
9505000.0,1953.510559797287
10000000.0,2095.720278024673
